Name,Formula,group,∆fH,C,H,CB-(H)(CB)2,CB-(CB)3,C-(H)3(CB),CB-(C)(CB)2,C-(H)3(C),C-(H)2(C)(CB),C-(H)2(C)2,C-(H)(C)2(CB),CD-(H)2,CD-(H)(C),C-(H)(C)3,C-(CB)(C)3,CD-(H)(CB),CB-(CD)(CB)2,CD-(C)(CB),CD-(CB)2,CBF-(CBF)(CB)2,CBF-(CB)(CBF)2,CH3 (tert),rsc,Ortho Corr,Metha Corr,Para Corr,radical 1,radical 2,radical 3
1-Methyl-2-ethylbenzene,C9H12,aromatic,1.21,9,12,4,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Isopropylbenzene,C9H12,aromatic,4.02,9,12,5,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Propylbenzene,C9H12,aromatic,7.91,9,12,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Dimethylbenzene",C8H10,aromatic,17.32,8,10,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"1,4-Dimethylbenzene",C8H10,aromatic,18.03,8,10,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"1,2-Dimethylbenzene",C8H10,aromatic,19.08,8,10,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Ethylbenzene,C8H10,aromatic,29.92,8,10,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Pentylnaphthalene,C15H18,aromatic,31.67,15,18,7,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
1-Pentylnaphthalene,C15H18,aromatic,32.43,15,18,7,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0
2-Butylnaphthalene,C14H16,aromatic,52.3,15,18,7,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
1-Butylnaphthalene,C14H16,aromatic,53.05,14,16,7,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0
2-Ethyl-6-methylnaphthalene,C13H14,aromatic,61.3,13,14,6,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,6,0
2-Ethyl-7-methylnaphthalene,C13H14,aromatic,61.3,13,14,6,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,7,0
2-Ethyl-3-methylnaphthalene,C13H14,aromatic,65.77,13,14,6,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,3,0
2-Propylnaphthalene,C13H14,aromatic,73.85,14,16,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
1-Propylnaphthalene,C13H14,aromatic,74.68,13,14,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0
"2,6-Dimethylnaphthalene",C12H12,aromatic,78.6,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,6,0
"2,7-Dimethylnaphthalene",C12H12,aromatic,79.5,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,7,0
"2,3-Dimethylnaphthalene",C12H12,aromatic,79.9,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,3,0
"1,3-Dimethylnaphthalene",C12H12,aromatic,83.4,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,3,0,0
"1,7-Dimethylnaphthalene",C12H12,aromatic,83.5,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,0,0
"1,6-Dimethylnaphthalene",C12H12,aromatic,83.6,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,0,0
"1,5-Dimethylnaphthalene",C12H12,aromatic,85.3,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,0,0
"1,4-Dimethylnaphthalene",C12H12,aromatic,85.4,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,4,0,0
"1,2-Dimethylnaphthalene",C12H12,aromatic,90.7,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,0
2-Ethylnaphthalene,C12H12,aromatic,95.9,12,12,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
1-Ethylnaphthalene,C12H12,aromatic,96.65,12,12,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0
"1,8-Dimethylnaphthalene",C12H12,aromatic,108.66,12,12,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,8,0,0
Isopropenylbenzene,C9H10,aromatic,112.97,9,10,5,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
p-Methylstyrene,C9H10,aromatic,114.64,9,10,4,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0
m-Methylstyrene,C9H10,aromatic,115.48,9,10,4,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0
