Name,Formula,-∆fH°,group,O-(C)(CB),CB-(O)(CB)2,C-(H)3(O),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),CH3(tert),CH3(qua),CO-(C)2,O-(CD)2,O-(C)(CD),O-(CB)2,O-(C)2,O-(H)(C) ,CD-(O)(H),C-(O)4,C-(H)(O)3,C-(O)3(C),C-(O)2(C)2,C-(H)(O)2(C),C-(H)2(O)2,C-(O)(C)3,C-(H)(O)(C)2,C-(H)2(O)(C) ,rsc,radical 1,radical 2,radical 3,Correction o-,Correction m-,Correction p-
1-Methyl-3-ethylbenzene,C9H12,1.92,aromatic,0,0,0,1,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
1-Methyl-4-ethylbenzene,C9H12,3.26,aromatic,0,0,0,1,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
"1,2,3-Trimethylbenzene",C9H12,9.46,aromatic,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0
Butylbenzene,C10H14,13.05,aromatic,0,0,0,1,0,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trimethylbenzene",C9H12,13.85,aromatic,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,1
Divinyl ether,C4H6O,14.02,ether,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,5-Trimethylbenzene",C9H12,15.94,aromatic,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0
Penthylbenzene,C11H16,34.43,aromatic,0,0,0,1,0,3,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furan,C4H4O,34.6,ether,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1,2,3,4-Tetramethylbenzene",C10H14,41.92,aromatic,0,0,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,2,1
"1,2,3,5-Tetramethylbenzene",C10H14,44.81,aromatic,0,0,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,3,1
"1,2,4,5-Tetramethylbenzene",C10H14,45.27,aromatic,0,0,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,2,2,2
Oxirane,C2H4O,52.6,ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Hexylbenzene,C12H18,55.02,aromatic,0,0,0,1,0,4,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methoxybenzene,C7H8O,67.9,ether,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,3-Triethylbenzene",C12H18,67.99,aromatic,0,0,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0
"1,2,4-Triethylbenzene",C12H18,71.09,aromatic,0,0,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,1
